date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:06:52	319166/319166	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:06:52%20GMT	https://www.ffpf.org/	www.ffpf.org/index.html	(from )
08:06:52	129/129	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	date:Thu,%2018%20Apr%202024%2008:06:52%20GMT	https://www.ffpf.org/robots.txt		(from )
08:06:54	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2018%20Apr%202024%2008:06:54%20GMT	https://www.ffpf.org/xmlrpc.php	www.ffpf.org/xmlrpc.php	(from https://www.ffpf.org/)
08:06:57	1106/1106	---MCZ	200	added ('OK')	application/json	date:Wed,%2017%20Apr%202024%2010:15:36%20GMT	https://www.ffpf.org/superpwa-manifest.json	www.ffpf.org/superpwa-manifest.json	(from https://www.ffpf.org/)
08:06:58	17688/17688	---MCZ	200	added ('OK')	text/css	etag:W/%22c8e02d4-4518-61650484a585a-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce-layout5d2d.css	(from https://www.ffpf.org/)
08:07:00	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%22c8e02d9-1b83-61650484a585a-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen5d2d.css	(from https://www.ffpf.org/)
08:07:00	43884/43884	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22fafe7407de11b7672382d3f97fd36af8-br%22	https://www.ffpf.org/feed/	www.ffpf.org/feed/index.html	(from https://www.ffpf.org/)
08:07:00	0/0	---MC-	301	error ('Moved%20Permanently')	application/rss+xml	etag:W/%22fafe7407de11b7672382d3f97fd36af8-br%22	https://www.ffpf.org/comments/feed/	www.ffpf.org/comments/feed/index.html	(from https://www.ffpf.org/)
08:07:01	77174/77174	---MCZ	200	added ('OK')	text/css	etag:W/%22c8e02d3-12d76-61650484a585a-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/css/woocommerce5d2d.css	(from https://www.ffpf.org/)
08:07:01	320433/320433	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:07:00%20GMT	https://www.ffpf.org/fr/home-fr/	www.ffpf.org/fr/home-fr/index.html	(from https://www.ffpf.org/)
08:07:02	76086/76086	---MCZ	200	added ('OK')	text/css	etag:W/%22c4007ed-12936-6165044aaad46-br%22	https://www.ffpf.org/wp-content/plugins/give/assets/dist/css/give.css?ver=3.8.0	www.ffpf.org/wp-content/plugins/give/assets/dist/css/give9e95.css	(from https://www.ffpf.org/)
08:07:03	2040/2040	---MCZ	200	added ('OK')	text/css	etag:W/%22c4007ee-7f8-6165044aaad46-br%22	https://www.ffpf.org/wp-content/plugins/give/assets/dist/css/give-donation-summary.css?ver=3.8.0	www.ffpf.org/wp-content/plugins/give/assets/dist/css/give-donation-summary9e95.css	(from https://www.ffpf.org/)
08:07:04	9427/9427	---M--	200	added ('OK')	image/gif	etag:%2258224a-24d3-610921dcc148b%22	https://www.ffpf.org/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	www.ffpf.org/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://www.ffpf.org/)
08:07:04	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2008:07:04%20GMT	http://www.ffpf.org/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	www.ffpf.org/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.8.delayed	(from https://www.ffpf.org/)
08:07:06	92172/92172	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222c3ff6-1680c-610921cb4b443-br%22	https://www.ffpf.org/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	www.ffpf.org/wp-content/themes/Divi/core/admin/fonts/modules/all/modules.eot	(from https://www.ffpf.org/)
08:07:07	9470/9470	---MCZ	200	added ('OK')	text/css	etag:W/%22c3e063a-24fe-580c89220f040-br%22	https://www.ffpf.org/wp-content/themes/Divi-child/style.css?ver=4.24.0	www.ffpf.org/wp-content/themes/Divi-child/stylea48f.css	(from https://www.ffpf.org/)
08:07:08	87553/87553	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c340414-15601-60ec17ef6979a-br%22	https://www.ffpf.org/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	www.ffpf.org/wp-includes/js/jquery/jquery.minf43b.js	(from https://www.ffpf.org/)
08:07:09	13577/13577	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c34040c-3509-60ec17ef6a352-br%22	https://www.ffpf.org/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	www.ffpf.org/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://www.ffpf.org/)
08:07:10	9636/9636	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8e042b-25a4-6165048b9df72-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min5f77.js	(from https://www.ffpf.org/)
08:07:11	3058/3058	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8e040b-bf2-6165048b9cfd2-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min5d2d.js	(from https://www.ffpf.org/)
08:07:12	1720/1720	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8e0443-6b8-6165048b9eb2a-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min244a.js	(from https://www.ffpf.org/)
08:07:13	2139/2139	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c8e0427-85b-6165048b9df72-br%22	https://www.ffpf.org/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=8.8.2	www.ffpf.org/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min5d2d.js	(from https://www.ffpf.org/)
